date,customer,branch
13/05/26 16:49,שילב שיווק ישיר לבית היולדת בעמ,שילב נתיבות
13/05/26 15:24,שילב שיווק ישיר לבית היולדת בעמ,שילב גרנד ברר שבע
13/05/26 14:33,שילב שיווק ישיר לבית היולדת בעמ,שילב בית חולים סורוקה
13/05/26 14:20,שילב שיווק ישיר לבית היולדת בעמ,שילב בית חולים סורוקה
13/05/26 12:28,מוצרים פגומים,מוס / תפרחת
13/05/26 12:17,שילב שיווק ישיר לבית היולדת בעמ,ביג באר שבע שילב
12/05/26 17:41,שילב שיווק ישיר לבית היולדת בעמ,שילב גבעתיים
12/05/26 17:01,מכבי שירותי בריאות,מכבי פארם תל אביב השלום הזמנה-107013426
12/05/26 14:20,מכבי שירותי בריאות,מכבי פארם יבנה גיבורי החיל הזמנה-107013050
12/05/26 13:08,שילב שיווק ישיר לבית היולדת בעמ,שילב גדרה
12/05/26 11:42,שילב שיווק ישיר לבית היולדת בעמ,שילב קרית גת
12/05/26 10:09,שילב שיווק ישיר לבית היולדת בעמ,שילב שפיגל פתח תקווה
11/05/26 21:49,"סופרסאפ בע""מ","סופרסאפ בע""מ הזמנת רכש-3423"
11/05/26 16:11,שילב שיווק ישיר לבית היולדת בעמ,שילב יהוד
11/05/26 09:44,מכבי שירותי בריאות,מכבי פארם רחובות הזמנה -107000470
11/05/26 09:44,מכבי שירותי בריאות,מכבי פארם רחובות הזמנה-107000472
11/05/26 09:42,מכבי שירותי בריאות,מכבי פארם הרצליה הזמנה- 107003609
10/05/26 17:22,שילב שיווק ישיר לבית היולדת בעמ,שילב חולון
10/05/26 15:49,שילב שיווק ישיר לבית היולדת בעמ,שילב בת ים
10/05/26 13:57,שילב שיווק ישיר לבית היולדת בעמ,שילב שער ראשון
10/05/26 13:08,מכבי שירותי בריאות,ראשון לציון מזרח - מכבי שירותי בריאות - ראשון לציון מזרח הזמנה-107007235
10/05/26 12:01,שילב שיווק ישיר לבית היולדת בעמ,שילב ראשונים
10/05/26 11:04,שילב שיווק ישיר לבית היולדת בעמ,שילב באר יעקב
07/05/26 14:46,שילב שיווק ישיר לבית היולדת בעמ,שילב גן העיר
07/05/26 13:02,טבע גבעתיים,טבע גבעתיים
07/05/26 12:39,מוצרים פגומים,סבון החתלה קרם הגנה
07/05/26 09:09,שילב שיווק ישיר לבית היולדת בעמ,בית שילב אילון
06/05/26 17:19,שילב שיווק ישיר לבית היולדת בעמ,שילב כפר סבא קניון ערים
06/05/26 16:39,שילב שיווק ישיר לבית היולדת בעמ,שילב כפר סבא g
06/05/26 15:16,"סופרסאפ בע""מ",תעודת משלוח רכש 3416
06/05/26 13:21,טבע עומריקה בע״מ - אחוזת הטבע,אחוזת הטבע
06/05/26 12:00,שילב שיווק ישיר לבית היולדת בעמ,שילב רננים
06/05/26 10:47,מכבי שירותי בריאות,כפר סבא הירוקה - מכבי פארם - כפר סבא הירוקה הזמנה-107000840
06/05/26 10:39,מוצרים פגומים,תחליב גוף
06/05/26 09:11,טבע גדרה,טבע גדרה
05/05/26 17:43,"סופרסאפ בע""מ",תעודת משלוח רכש 3399 + 3403
05/05/26 17:01,שילב שיווק ישיר לבית היולדת בעמ,שילב גלילות
05/05/26 16:06,שילב שיווק ישיר לבית היולדת בעמ,שילב הרצליה
05/05/26 14:27,שילב שיווק ישיר לבית היולדת בעמ,שילב עיר ימים
05/05/26 13:32,שילב שיווק ישיר לבית היולדת בעמ,שילב פולג נתניה
04/05/26 21:11,לקוחות פרטיים,פרסום ושיווק מוצרים בחנויות
04/05/26 21:05,אתר או אייט ישראל,פרסום ושיווק מוצרים במבצע באתר
04/05/26 20:43,אתר או אייט ישראל,30/04/2026
04/05/26 20:33,אתר או אייט ישראל,קרטון משלוחים
04/05/26 15:42,שילב שיווק ישיר לבית היולדת בעמ,שילב קרית אונו
04/05/26 13:59,מוצרים פגומים,החתלה/ קרם החתלה פורטה / שמן
04/05/26 13:19,שילב שיווק ישיר לבית היולדת בעמ,שילב בית שמש
04/05/26 11:17,שילב שיווק ישיר לבית היולדת בעמ,שילב מודיעין
04/05/26 08:33,מכבי שירותי בריאות,מכבי פארם יקנעם הזמנה-106990270
04/05/26 08:31,מכבי שירותי בריאות,מכבי פארם קרית אונו הזמנה-106994655
04/05/26 08:30,מכבי שירותי בריאות,מכבי פארם קרית אונו הזמנה-106977464
03/05/26 17:51,שילב שיווק ישיר לבית היולדת בעמ,שילב חדרה
03/05/26 16:13,שילב שיווק ישיר לבית היולדת בעמ,שילב גן שמואל
03/05/26 12:16,שילב שיווק ישיר לבית היולדת בעמ,שילב רחובות
03/05/26 11:55,שילב שיווק ישיר לבית היולדת בעמ,שילב אור עקיבא
30/04/26 20:53,שילב שיווק ישיר לבית היולדת בעמ,שילב נמל ת״א
30/04/26 11:22,שילב שיווק ישיר לבית היולדת בעמ,שילב רמת ישי
30/04/26 10:40,שילב שיווק ישיר לבית היולדת בעמ,שילב נמל תא
30/04/26 10:36,מכבי שירותי בריאות,מכבי תא בלפור מספר הזמנה : 106987978
30/04/26 09:02,מכבי שירותי בריאות,מכבי פארם נהריה הזמנה-106987978
30/04/26 09:00,מכבי שירותי בריאות,מכבי פארם יקנעם הזמנה-106985765
29/04/26 12:57,שילב שיווק ישיר לבית היולדת בעמ,שילב שרונים הוד השרון
29/04/26 12:15,שילב שיווק ישיר לבית היולדת בעמ,שילב ראש העין
29/04/26 11:50,מכבי שירותי בריאות,מכבי ראש העין פסגות אפק הזמנה-106987398
29/04/26 09:16,מכבי שירותי בריאות,מכבי ראש העין פסגות אפק הזמנה-106984802
29/04/26 09:14,מכבי שירותי בריאות,מכבי פארם הרצליה הזמנה- 106984902
29/04/26 09:13,מכבי שירותי בריאות,ראש העין הציונות מכבי פארם הזמנה- 106981884
28/04/26 17:23,שילב שיווק ישיר לבית היולדת בעמ,שילב עזריאלי חיפה
28/04/26 12:58,שילב שיווק ישיר לבית היולדת בעמ,שילב קריון
28/04/26 12:51,שילב שיווק ישיר לבית היולדת בעמ,שילב קריון
28/04/26 08:35,שילב שיווק ישיר לבית היולדת בעמ,שילב רגבה
28/04/26 08:29,בית בריא,בית בריא
28/04/26 07:46,מכבי שירותי בריאות,מכבי פארם יקנעם הזמנה-106961171
27/04/26 16:42,שילב שיווק ישיר לבית היולדת בעמ,שילב אשקלון גלובוס
27/04/26 16:29,"סופרסאפ בע""מ",תעודת משלוח רכש 3356
27/04/26 16:21,"סופרסאפ בע""מ",תעודת משלוח רכש 3398
27/04/26 16:05,שילב שיווק ישיר לבית היולדת בעמ,שילב אשקלון סילבר
27/04/26 16:02,שילב שיווק ישיר לבית היולדת בעמ,שילב אשקלון סילבר
27/04/26 13:56,שילב שיווק ישיר לבית היולדת בעמ,שילב ביג אשדוד
27/04/26 13:36,שילב שיווק ישיר לבית היולדת בעמ,שילב דיזינגוף סנטר
27/04/26 13:15,מכבי שירותי בריאות,מכבי פארם אשדוד רובע ד' הזמנה -106982348
27/04/26 12:48,שילב שיווק ישיר לבית היולדת בעמ,שילב רמת אביב
27/04/26 09:49,מכבי שירותי בריאות,מכבי פארם סי מול אשדוד הזמנה-106963608
27/04/26 09:44,שילב שיווק ישיר לבית היולדת בעמ,שילב אתר סחר
27/04/26 09:42,מכבי שירותי בריאות,מכבי פארם מודיעין הזמנה- 106952759
26/04/26 15:32,מכבי שירותי בריאות,מכבי רמת השרון הזמנה-106974224
26/04/26 11:58,שילב שיווק ישיר לבית היולדת בעמ,שילב ראשון לציון g
26/04/26 10:38,שילב שיווק ישיר לבית היולדת בעמ,שילב אילת
23/04/26 11:08,שילב שיווק ישיר לבית היולדת בעמ,שילב רמלה
23/04/26 09:39,מכבי שירותי בריאות,מכבי פארם רמלה הזמנה -106965820
23/04/26 09:37,מכבי שירותי בריאות,מכבי פארם פסגת אונו הזמנה-106943560
23/04/26 09:36,מכבי שירותי בריאות,מכבי פארם קרית אונו הזמנה- 106965820
20/04/26 16:17,שילב שיווק ישיר לבית היולדת בעמ,בית שילב
20/04/26 13:23,שילב שיווק ישיר לבית היולדת בעמ,שילב בית חולים בלינסון
20/04/26 12:37,שילב שיווק ישיר לבית היולדת בעמ,שילב אבנת פתח תקווה
20/04/26 11:23,שילב שיווק ישיר לבית היולדת בעמ,שילב גלילות
20/04/26 09:52,"ביו גאיה בע""מ",ביו גאיה בעמ
19/04/26 18:25,מוצרים פגומים,שמן אמבט
19/04/26 17:17,שילב שיווק ישיר לבית היולדת בעמ,שילב גלובל פתח תקווה
19/04/26 15:03,שילב שיווק ישיר לבית היולדת בעמ,שילב הרצליה
13/05/26 16:49,שילב שיווק ישיר לבית היולדת בעמ,שילב נתיבות
13/05/26 15:24,שילב שיווק ישיר לבית היולדת בעמ,שילב גרנד ברר שבע
13/05/26 14:33,שילב שיווק ישיר לבית היולדת בעמ,שילב בית חולים סורוקה
13/05/26 14:20,שילב שיווק ישיר לבית היולדת בעמ,שילב בית חולים סורוקה
13/05/26 12:28,מוצרים פגומים,מוס / תפרחת
13/05/26 12:17,שילב שיווק ישיר לבית היולדת בעמ,ביג באר שבע שילב
